Timestamp (ns),Timestamp2,I,Q
2024-11-17 11:03:08.349142242,.391,-0.000852,0.00154
2024-11-17 11:03:08.349142253,.224,0.000166,-0.00103
2024-11-17 11:03:08.349142264,.057,0.000166,0.00137
2024-11-17 11:03:08.349142274,.890,-3.63e-07,0.000686
2024-11-17 11:03:08.349142285,.723,0.000166,-4.03e-07
2024-11-17 11:03:08.349142296,.556,0.000167,-0.000343
2024-11-17 11:03:08.349142307,.389,-0.000685,-0.00103
2024-11-17 11:03:08.349142318,.222,-0.000685,-0.0012
2024-11-17 11:03:08.349142329,.055,0.000853,0.0012
2024-11-17 11:03:08.349142339,.888,0.000686,0.00103
2024-11-17 11:03:08.349142350,.721,0.000509,-0.000343
2024-11-17 11:03:08.349142361,.554,0.000852,0.000852
2024-11-17 11:03:08.349142372,.387,0.000686,0.000343
2024-11-17 11:03:08.349142383,.220,-0.00103,-0.0012
2024-11-17 11:03:08.349142394,.053,2.31e-07,-0.00103
2024-11-17 11:03:08.349142404,.886,-0.000509,-0.000686
2024-11-17 11:03:08.349142415,.719,-0.000509,0.000343
2024-11-17 11:03:08.349142426,.552,0.00137,-0.000166
2024-11-17 11:03:08.349142437,.385,0.00103,-0.000343
2024-11-17 11:03:08.349142448,.218,0.000166,-0.000166
2024-11-17 11:03:08.349142459,.051,-0.000686,-0.00103
2024-11-17 11:03:08.349142469,.884,-0.000853,-0.00154
2024-11-17 11:03:08.349142480,.717,-0.00103,-0.000343
2024-11-17 11:03:08.349142491,.550,2.88e-07,-0.00137
2024-11-17 11:03:08.349142502,.383,-0.000685,0.000343
2024-11-17 11:03:08.349142513,.216,0.00154,0.000167
2024-11-17 11:03:08.349142524,.049,1.01e-07,-0.000343
2024-11-17 11:03:08.349142534,.882,-0.00137,3.76e-07
2024-11-17 11:03:08.349142545,.715,0.000685,-0.000343
2024-11-17 11:03:08.349142556,.548,0.00137,-0.000686
2024-11-17 11:03:08.349142567,.381,0.000343,0.000509
2024-11-17 11:03:08.349142578,.214,-0.00103,0.000343
2024-11-17 11:03:08.349142589,.047,0.000853,0.000686
2024-11-17 11:03:08.349142599,.880,0.00154,-0.000509
2024-11-17 11:03:08.349142610,.713,0.0012,-0.00137
2024-11-17 11:03:08.349142621,.546,-0.00103,-0.000342
2024-11-17 11:03:08.349142632,.379,-2.56e-07,-0.00154
2024-11-17 11:03:08.349142643,.212,-0.00051,0.00103
2024-11-17 11:03:08.349142654,.045,-3.69e-07,-0.00188
2024-11-17 11:03:08.349142664,.878,0.000686,0.00257
2024-11-17 11:03:08.349142675,.711,-0.000686,0.000685
2024-11-17 11:03:08.349142686,.544,0.000853,-0.00103
2024-11-17 11:03:08.349142697,.377,-0.000685,0.00154
2024-11-17 11:03:08.349142708,.210,-0.00154,0.000167
2024-11-17 11:03:08.349142719,.043,-0.000167,0.000343
2024-11-17 11:03:08.349142729,.876,-0.00188,-0.00154
2024-11-17 11:03:08.349142740,.709,0.00137,0.00103
2024-11-17 11:03:08.349142751,.542,0.000686,0.000166
2024-11-17 11:03:08.349142762,.375,-0.00154,-0.00154
2024-11-17 11:03:08.349142773,.208,2.2e-07,0.000852
2024-11-17 11:03:08.349142784,.041,0.000167,0.000509
2024-11-17 11:03:08.349142794,.874,-0.00103,-0.000852
2024-11-17 11:03:08.349142805,.707,-0.000509,-0.000343
2024-11-17 11:03:08.349142816,.540,-0.000167,0.00051
2024-11-17 11:03:08.349142827,.373,-0.00103,-0.000166
2024-11-17 11:03:08.349142838,.206,-4.19e-07,-0.0012
2024-11-17 11:03:08.349142849,.039,-2.78e-07,-3.2e-07
2024-11-17 11:03:08.349142859,.872,0.000686,-4.23e-07
2024-11-17 11:03:08.349142870,.705,0.00103,-0.00103
2024-11-17 11:03:08.349142881,.538,0.00154,0.000167
2024-11-17 11:03:08.349142892,.371,0.00154,-0.0012
2024-11-17 11:03:08.349142903,.204,0.0012,-0.00103
2024-11-17 11:03:08.349142914,.037,0.000166,-0.000509
2024-11-17 11:03:08.349142924,.870,-3.89e-07,-0.000166
2024-11-17 11:03:08.349142935,.703,-0.000853,0.00103
2024-11-17 11:03:08.349142946,.536,0.000686,-0.00103
2024-11-17 11:03:08.349142957,.369,-0.000166,0.000166
2024-11-17 11:03:08.349142968,.202,3.29e-07,0.000686
2024-11-17 11:03:08.349142979,.035,-0.000166,0.000852
2024-11-17 11:03:08.349142989,.868,-0.000343,-0.000686
2024-11-17 11:03:08.349143000,.701,0.000686,0.00103
2024-11-17 11:03:08.349143011,.534,-0.00051,0.00103
2024-11-17 11:03:08.349143022,.367,0.000166,0.000686
2024-11-17 11:03:08.349143033,.200,0.000509,-0.000343
2024-11-17 11:03:08.349143044,.033,0.000166,0.000685
2024-11-17 11:03:08.349143054,.866,-0.000166,-3.98e-07
